Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Running,23-04-19 9:25,FALSE,Melbourne Running,3.07,220,0:18:17,143,156,2.7,156,180,5:58,5:00,1,2,1.04,10.1,10.2,296,49.8% L / 50.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,00:26.5,4,0,--,--
Cycling,23-04-19 6:36,FALSE,Melbourne Cycling,71.23,"1,078",2:31:10,123,146,--,--,--,28.3,47.4,157,162,0,0,0,--,--,69,95,140,123.9,145,123,574,0,0,9515,--,--,--,0:00,13,0:00,No,00:38.1,72,0,--,--
Open Water Swimming,22-04-19 15:17,FALSE,Port Phillip Bay Open Water Swimming,"2,316",536,0:42:53,--,--,--,--,--,1:51,0:49,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1214,41,28,--,0:00,18,0:00,No,00:00.0,1,0,--,--
Running,21-04-19 10:26,FALSE,Melbourne Running,12.06,898,1:25:57,143,163,3.3,148,177,7:08,5:12,79,89,0.92,10.5,9.5,327,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:37.7,13,0,--,--
Open Water Swimming,21-04-19 9:08,FALSE,Port Phillip Bay Open Water Swimming,"1,905",441,0:34:58,--,--,--,--,--,1:50,0:40,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,949,40,27,--,0:00,17,0:00,No,00:00.0,1,0,--,--
Running,21-04-19 6:28,FALSE,Port Phillip Bay Running,14.08,869,1:37:17,130,143,2.6,147,248,6:55,5:01,67,68,0.96,10.2,9.6,330,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:27.7,15,0,--,--
Running,20-04-19 14:04,FALSE,Melbourne Running,2.06,201,0:16:10,141,152,2.7,130,226,7:50,4:59,9,8,0.95,10.5,9.6,349,50.9% L / 49.1% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,02:16.0,3,0,--,--
Cycling,20-04-19 5:52,FALSE,Melbourne Cycling,189.48,"2,747",6:58:07,133,161,--,--,--,27.2,45.1,317,300,0,0,0,--,--,68,96,129,289.7,127,113,542,0,0,25998,--,--,--,0:00,8,0:00,No,01:30.7,190,0,--,--
Running,19-04-19 8:30,FALSE,Port Phillip Bay Running,5.04,376,0:30:22,150,163,3.5,158,180,6:02,4:51,4,4,1.04,9.9,10.5,282,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,00:27.6,6,0,--,--
Open Water Swimming,19-04-19 6:39,FALSE,Port Phillip Bay Open Water Swimming,"4,005",874,1:13:39,--,--,--,--,--,1:50,0:51,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,2302,42,31,--,0:00,17,0:00,No,00:00.0,1,0,--,--
Treadmill Running,18-04-19 12:19,FALSE,Treadmill Running,5.05,388,0:32:31,145,173,3.4,156,169,6:26,4:41,2,--,1,10.3,10.4,292,48.5% L / 51.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:17.7,6,0,--,--
Running,18-04-19 6:51,FALSE,Melbourne Running,1.23,88,07:52.1,138,149,2,161,256,6:23,5:12,6,6,0.9,11.6,9.3,287,50.2% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,01:41.0,2,0,--,--
Cycling,18-04-19 5:33,FALSE,Melbourne Cycling,31.08,572,1:09:10,130,150,--,--,--,27,41.2,194,190,0,0,0,--,--,73,93,158,71.1,152,141,518,0,0,4841,--,--,--,0:00,12,0:00,No,00:19.0,32,0,--,--
Open Water Swimming,17-04-19 16:18,FALSE,Port Phillip Bay Open Water Swimming,"1,779",397,0:30:45,--,--,--,--,--,1:44,0:17,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,872,38,28,--,0:00,18,0:00,No,00:00.0,1,0,--,--
