Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,31/12/2019 8:42,FALSE,Maroochydore Cycling,25.77,395,1:11:45,109,138,1,--,--,21.5,41.1,580,651,0,0,0,63,100,--,0,--,--,--,0,0,3914,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,30/12/2019 7:00,FALSE,Maroochydore Running,11.07,678,0:58:11,153,169,4,169,179,5:15,4:14,422,445,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,02:33.2,12,0
Cycling,29/12/2019 5:54,FALSE,Maroochydore Cycling,84.47,"1,318",2:54:12,133,164,2.8,--,--,29.1,51.7,"1,694","1,705",0,0,0,74,104,--,0,--,--,--,0,0,12461,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Open Water Swimming,28/12/2019 10:23,FALSE,Queensland Open Water Swimming,"2,515",445,0:46:03,--,--,--,--,--,1:50,0:41,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1504,42,32,--,--,0:00,0,0:00,No,00:17.1,6,0
Cycling,27/12/2019 5:59,FALSE,Maroochydore Cycling,74.12,"1,094",2:48:36,124,155,2.2,--,--,26.4,45.9,"1,232","1,304",0,0,0,72,99,--,0,--,--,--,0,0,11303,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,26/12/2019 16:56,FALSE,Maroochydore Running,7.7,480,0:39:36,157,173,3.8,169,189,5:09,4:27,253,286,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,03:52.7,8,0
Cycling,26/12/2019 6:41,FALSE,Maroochydore Cycling,81.12,"1,398",2:49:35,138,161,3.1,--,--,28.7,50.1,"1,616","1,692",0,0,0,75,102,--,0,--,--,--,0,0,12112,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,25/12/2019 7:02,FALSE,Maroochydore Running,9.03,553,0:47:30,151,173,3.7,169,177,5:16,4:10,328,309,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.7,10,0
Running,24/12/2019 6:24,FALSE,Melbourne Running,8.29,505,0:43:32,149,173,3.5,171,181,5:15,4:37,172,171,1.11,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:37.1,9,0
Open Water Swimming,23/12/2019 9:57,FALSE,Port Phillip Bay Open Water Swimming,"1,030",183,0:17:31,--,--,--,--,--,1:42,0:49,--,--,0,0,0,--,--,--,0,--,--,--,0,0,558,39,31,--,--,0:00,0,0:00,No,00:48.0,3,0
Running,23/12/2019 9:06,FALSE,Melbourne Running,5.42,299,0:26:34,149,170,3.1,173,182,4:54,4:15,195,179,1.18,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,02:00.5,6,0
Cycling,23/12/2019 5:52,FALSE,Melbourne Cycling,86,"1,177",2:44:53,129,159,2.7,--,--,31.3,47.3,972,982,0,0,0,75,101,--,0,--,--,--,0,0,12075,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,22/12/2019 9:06,FALSE,Melbourne Running,5.42,319,0:27:27,152,167,3.1,173,182,5:04,4:24,134,159,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,02:02.1,6,0
Cycling,22/12/2019 5:50,FALSE,Melbourne Cycling,86.46,"1,217",2:49:17,133,167,2.6,--,--,30.6,46.7,"1,157","1,173",0,0,0,75,113,--,0,--,--,--,0,0,12476,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,21/12/2019 9:10,FALSE,Melbourne Running,5.46,325,0:27:46,153,164,3.2,171,181,5:05,4:35,152,133,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,02:11.3,6,0
Cycling,21/12/2019 6:02,FALSE,Melbourne Cycling,85.74,"1,201",2:52:07,130,163,2.6,--,--,29.9,49.3,970,"1,005",0,0,0,72,100,--,0,--,--,--,0,0,12058,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,20/12/2019 8:37,FALSE,Melbourne Running,12.02,777,1:06:23,158,179,4.6,158,185,5:31,3:58,401,421,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:14.9,32,0
Cycling,19/12/2019 5:23,FALSE,Melbourne Cycling,54.36,937,1:43:26,144,182,4,--,--,31.5,49.6,836,893,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,18/12/2019 5:48,FALSE,Lap Swimming,"3,350",554,1:12:32,--,--,--,--,--,1:56,0:41,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1813,43,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,17/12/2019 17:54,FALSE,Zwift - London,27.48,485,0:56:45,--,--,0,--,--,29,78.5,254,--,0,0,0,75,93,159,0,179,149,327,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,17/12/2019 5:47,FALSE,Melbourne Running,11.63,743,1:10:06,149,179,3.4,145,181,6:02,4:10,317,323,1.21,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:06.8,19,0
Cycling,15/12/2019 7:28,FALSE,Melbourne Cycling,101.75,"1,473",3:25:55,132,164,3,--,--,29.6,56.4,"1,448","1,553",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,14/12/2019 15:10,FALSE,Melbourne Running,14.01,863,1:13:56,157,177,4.5,166,239,5:17,4:41,338,367,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:06.2,15,0
Pool Swimming,13/12/2019 5:45,FALSE,Lap Swimming,"3,500",635,1:16:31,--,--,--,--,--,1:56,1:39,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2016,87,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,12/12/2019 18:42,FALSE,Melbourne Running,12,757,1:03:14,159,182,4.3,167,177,5:16,4:50,210,210,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,05:08.0,12,0
Cycling,12/12/2019 5:25,FALSE,Melbourne Cycling,43.58,569,1:28:29,113,165,2.8,--,--,29.6,42.5,745,801,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,11/12/2019 5:48,FALSE,Lap Swimming,"3,900",753,1:10:05,--,--,--,--,--,1:23,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1315,58,24,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,10/12/2019 19:27,FALSE,Zwift - London,25.21,389,0:50:15,--,--,0,--,--,30.1,59.2,126,--,0,0,0,81,107,145,0,160,135,289,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
